Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Team
2023-03-27,20:45,UEFA Euro Qualifying,Group stage,Mon,Away,L,0.0,1.0,pl Poland,45.0,56227.0,Elseid Hysaj,4-1-4-1,Slavko Vinčič,Match Report,,al Albania
2023-06-17,20:45,UEFA Euro Qualifying,Group stage,Sat,Home,W,2.0,0.0,md Moldova,72.0,20944.0,Elseid Hysaj,4-1-4-1,Dennis Higler,Match Report,,al Albania
2023-06-20,19:45,UEFA Euro Qualifying,Group stage,Tue,Away,W,3.0,1.0,fo Faroe Islands,49.0,2507.0,Elseid Hysaj,4-2-3-1,Chrysovalantis Theouli,Match Report,,al Albania
2023-09-07,20:45,UEFA Euro Qualifying,Group stage,Thu,Away,D,1.0,1.0,cz Czechia,43.0,18641.0,Berat Djimsiti,4-2-3-1,Anthony Taylor,Match Report,,al Albania
2023-09-10,20:45,UEFA Euro Qualifying,Group stage,Sun,Home,W,2.0,0.0,pl Poland,39.0,21900.0,Berat Djimsiti,4-1-3-2,José Sánchez,Match Report,,al Albania
2023-10-12,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,W,3.0,0.0,cz Czechia,36.0,20917.0,Berat Djimsiti,4-2-3-1,Danny Makkelie,Match Report,,al Albania
2023-11-17,19:00,UEFA Euro Qualifying,Group stage,Fri,Away,D,1.0,1.0,md Moldova,53.0,9537.0,Berat Djimsiti,4-3-3,William Collum,Match Report,,al Albania
2023-11-20,20:45,UEFA Euro Qualifying,Group stage,Mon,Home,D,0.0,0.0,fo Faroe Islands,64.0,21456.0,Berat Djimsiti,4-3-3,Sven Jablonski,Match Report,,al Albania
2024-03-22,20:45,Friendlies (M),Friendlies (M),Fri,Neutral,L,0.0,3.0,cl Chile,,,Berat Djimsiti,4-2-3-1,Luca Pairetto,Match Report,,al Albania
2024-03-25,19:00,Friendlies (M),Friendlies (M),Mon,Away,L,0.0,1.0,se Sweden,,17892.0,Berat Djimsiti,4-2-3-1,Marcel Bîrsan,Match Report,,al Albania
2024-06-03,20:00,Friendlies (M),Friendlies (M),Mon,Neutral,,,,li Liechtenstein,,,,,,Head-to-Head,,al Albania
2024-06-07,19:00,Friendlies (M),Friendlies (M),Fri,Neutral,,,,az Azerbaijan,,,,,,Head-to-Head,,al Albania
2024-06-15,21:00,UEFA Euro,Group stage,Sat,Away,,,,it Italy,,,,,,Head-to-Head,,al Albania
2024-06-19,15:00,UEFA Euro,Group stage,Wed,Away,,,,hr Croatia,,,,,,Head-to-Head,,al Albania
2024-06-24,21:00,UEFA Euro,Group stage,Mon,Home,,,,es Spain,,,,,,Head-to-Head,,al Albania
2023-03-24,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,W,4.0,1.0,az Azerbaijan,51.0,16500.0,Marcel Sabitzer,4-4-2,Bartosz Frankowski,Match Report,,at Austria
2023-03-27,20:45,UEFA Euro Qualifying,Group stage,Mon,Home,W,2.0,1.0,ee Estonia,66.0,16500.0,Konrad Laimer,4-4-2,Enea Jorgji,Match Report,,at Austria
2023-06-17,20:45,UEFA Euro Qualifying,Group stage,Sat,Away,D,1.0,1.0,be Belgium,44.0,39237.0,David Alaba,4-4-2,Jérôme Brisard,Match Report,,at Austria
2023-06-20,20:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,2.0,0.0,se Sweden,63.0,46300.0,David Alaba,4-4-2,Marco Guida,Match Report,,at Austria
2023-09-12,20:45,UEFA Euro Qualifying,Group stage,Tue,Away,W,3.0,1.0,se Sweden,53.0,43228.0,David Alaba,4-4-2,Serdar Gözübüyük,Match Report,,at Austria
2023-10-13,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,L,2.0,3.0,be Belgium,58.0,47000.0,Konrad Laimer,4-4-1-1,Jesús Gil,Match Report,,at Austria
2023-10-16,20:00,UEFA Euro Qualifying,Group stage,Mon,Away,W,1.0,0.0,az Azerbaijan,46.0,4446.0,Konrad Laimer,4-1-4-1,Aristotelis Diamantopoulos,Match Report,,at Austria
2023-11-16,19:00,UEFA Euro Qualifying,Group stage,Thu,Away,W,2.0,0.0,ee Estonia,69.0,4488.0,David Alaba,4-3-3,Nikola Dabanović,Match Report,,at Austria
2024-03-23,18:00,Friendlies (M),Friendlies (M),Sat,Away,W,2.0,0.0,sk Slovakia,,9912.0,Marcel Sabitzer,4-2-3-1,Trustin Farrugia Cann,Match Report,,at Austria
2024-03-26,20:45,Friendlies (M),Friendlies (M),Tue,Home,W,6.0,1.0,tr Türkiye,,38500.0,Konrad Laimer,4-2-3-1,Daniele Chiffi,Match Report,,at Austria
2024-06-04,20:45,Friendlies (M),Friendlies (M),Tue,Home,,,,rs Serbia,,,,,,Head-to-Head,,at Austria
2024-06-08,18:00,Friendlies (M),Friendlies (M),Sat,Away,,,,ch Switzerland,,,,,,Head-to-Head,,at Austria
2024-06-17,21:00,UEFA Euro,Group stage,Mon,Home,,,,fr France,,,,,,Head-to-Head,,at Austria
2024-06-21,18:00,UEFA Euro,Group stage,Fri,Away,,,,pl Poland,,,,,,Head-to-Head,,at Austria
2024-06-25,18:00,UEFA Euro,Group stage,Tue,Away,,,,nl Netherlands,,,,,,Head-to-Head,,at Austria
2023-03-24,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,W,3.0,0.0,se Sweden,56.0,49296.0,Kevin De Bruyne,4-2-2-2,Orel Grinfeeld,Match Report,,be Belgium
2023-06-17,20:45,UEFA Euro Qualifying,Group stage,Sat,Home,D,1.0,1.0,at Austria,56.0,39237.0,Romelu Lukaku,3-5-2,Jérôme Brisard,Match Report,,be Belgium
2023-06-20,21:45,UEFA Euro Qualifying,Group stage,Tue,Away,W,3.0,0.0,ee Estonia,67.0,11772.0,Romelu Lukaku,4-3-3,John Beaton,Match Report,,be Belgium
2023-09-09,17:00,UEFA Euro Qualifying,Group stage,Sat,Away,W,1.0,0.0,az Azerbaijan,54.0,4500.0,Romelu Lukaku,4-3-3,Nenad Minaković,Match Report,,be Belgium
2023-09-12,20:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,5.0,0.0,ee Estonia,75.0,24127.0,Romelu Lukaku,4-3-3,Bartosz Frankowski,Match Report,,be Belgium
2023-10-13,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,W,3.0,2.0,at Austria,42.0,47000.0,Romelu Lukaku,4-3-3,Jesús Gil,Match Report,,be Belgium
2023-10-16,20:45,UEFA Euro Qualifying,Group stage,Mon,Home,D,1.0,1.0,se Sweden,66.0,,Romelu Lukaku,4-4-2,Maurizio Mariani,Match Report,Match awarded to,be Belgium
2023-11-19,18:00,UEFA Euro Qualifying,Group stage,Sun,Home,W,5.0,0.0,az Azerbaijan,75.0,30276.0,Romelu Lukaku,4-2-3-1,Gergő Bogár,Match Report,,be Belgium
