Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 20_level_0,Team,Unnamed: 3_level_0
Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,,MP
Jasir Asani,"MF,FW",28.0,8.0,8,562.0,6.2,3.0,2.0,5.0,3.0,0.0,0.0,1.0,0.0,0.48,0.32,0.8,0.48,0.8,Matches,al Albania,
Berat Djimsiti,DF,30.0,7.0,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,al Albania,
Elseid Hysaj,DF,29.0,7.0,7,630.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.14,0.14,0.0,0.14,Matches,al Albania,
Mario Mitaj,DF,20.0,7.0,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,al Albania,
Ylber Ramadani,MF,27.0,7.0,7,630.0,7.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.29,0.0,0.29,Matches,al Albania,
Kristjan Asllani,MF,21.0,8.0,7,593.0,6.6,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.15,0.15,0.3,0.15,0.3,Matches,al Albania,
Nedim Bajrami,MF,24.0,8.0,7,574.0,6.4,3.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,0.47,0.16,0.63,0.47,0.63,Matches,al Albania,
Sokol Cikalleshi,FW,33.0,8.0,7,494.0,5.5,1.0,1.0,2.0,0.0,1.0,2.0,2.0,0.0,0.18,0.18,0.36,0.0,0.18,Matches,al Albania,
Ardian Ismajli,DF,27.0,6.0,6,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,al Albania,
Etrit Berisha,GK,34.0,5.0,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,al Albania,
Taulant Seferi,"MF,FW",27.0,7.0,4,393.0,4.4,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.46,0.0,0.46,0.46,0.46,Matches,al Albania,
Myrto Uzuni,"MF,FW",28.0,6.0,4,329.0,3.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.27,0.0,0.27,Matches,al Albania,
Thomas Strakosha,GK,28.0,3.0,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,al Albania,
Iván Balliu,DF,32.0,2.0,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,al Albania,
Keidi Bare,MF,26.0,5.0,2,172.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,al Albania,
Mirlind Daku,FW,26.0,5.0,1,187.0,2.1,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.48,0.48,0.96,0.48,0.96,Matches,al Albania,
